patch_id,path,image_id,x1,y1,x2,y2,label,coverage,track_ratio
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0000,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0000.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,608,160,672,224,Low,0.484375,0.923828125
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0001,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0001.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,640,160,704,224,Low,0.484375,0.95849609375
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0002,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0002.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,672,160,736,224,Low,0.484375,0.99853515625
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0003,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0003.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,704,160,768,224,Low,0.484375,0.999267578125
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0004,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0004.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,736,160,800,224,Low,0.484375,0.99951171875
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0005,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0005.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,768,160,832,224,Medium,0.57421875,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0006,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0006.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,800,160,864,224,Medium,0.76171875,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0007,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0007.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,832,160,896,224,Medium,0.84375,0.926025390625
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0008,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0008.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,864,160,928,224,Medium,0.66796875,0.801513671875
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0009,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0009.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,896,160,960,224,Low,0.484375,0.75244140625
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0010,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0010.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,928,160,992,224,Low,0.476806640625,0.769287109375
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0011,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0011.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,576,192,640,256,Low,0.984375,0.8623046875
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0012,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0012.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,608,192,672,256,Low,0.984375,0.999267578125
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0013,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0013.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,640,192,704,256,Low,0.984375,0.999755859375
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0014,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0014.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,672,192,736,256,Low,0.984375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0015,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0015.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,704,192,768,256,Low,0.984375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0016,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0016.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,736,192,800,256,Low,0.984375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0017,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0017.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,768,192,832,256,Low,0.984375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0018,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0018.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,800,192,864,256,Low,0.984375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0019,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0019.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,832,192,896,256,Low,0.984375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0020,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0020.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,864,192,928,256,Low,0.984375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0021,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0021.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,896,192,960,256,Low,0.984375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0022,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0022.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,928,192,992,256,Low,0.968994140625,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0023,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0023.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,960,192,1024,256,Low,0.476806640625,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0024,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0024.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,448,224,512,288,Low,0.75,0.76904296875
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0025,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0025.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,480,224,544,288,Low,1.0,0.84716796875
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0026,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0026.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,512,224,576,288,Low,1.0,0.885986328125
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0027,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0027.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,544,224,608,288,Low,1.0,0.918212890625
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0028,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0028.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,576,224,640,288,Low,1.0,0.971923828125
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0029,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0029.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,608,224,672,288,Low,1.0,0.999755859375
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0030,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0030.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,640,224,704,288,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0031,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0031.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,672,224,736,288,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0032,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0032.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,704,224,768,288,Low,1.0,1.0
